Subject,Stimuli,FixStart,FixEnd,FixDur,XPos,YPos,ROI,Block,Trial,ImageType,Species,SubjectName,roi_type,roi_index,saliency,area
Cheyenne_20240702_1420,SStil21.png,722.954,882.837,163.356,490,996,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,S,Baboon,Cheyenne,0,0,36.833370208740234,1657483
Cheyenne_20240702_1420,SStil21.png,899.642,992.953,96.554,875,933,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,S,Baboon,Cheyenne,0,0,87.42862701416016,1657483
Cheyenne_20240702_1420,SStil21.png,1012.953,1239.578,229.881,271,524,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,S,Baboon,Cheyenne,0,0,128.38412475585938,1657483
Cheyenne_20240702_1420,SStil21.png,1256.147,1446.226,193.31,388,333,Fire,1,Cheyenne_Block1_20240702_1420.xlsx,S,Baboon,Cheyenne,1,1,70.44625854492188,185855
Cheyenne_20240702_1420,SStil21.png,1456.121,1612.879,159.969,292,395,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,S,Baboon,Cheyenne,0,0,112.75853729248047,1657483
Cheyenne_20240702_1420,SStil21.png,1802.743,1976.049,176.743,628,127,Fire,1,Cheyenne_Block1_20240702_1420.xlsx,S,Baboon,Cheyenne,0,0,12.5308837890625,1657483
Cheyenne_20240702_1420,SStil21.png,1996.054,2166.135,173.317,932,79,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,S,Baboon,Cheyenne,0,0,7.46814489364624,1657483
Cheyenne_20240702_1420,SStil21.png,2192.801,2549.322,359.951,1622,418,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,S,Baboon,Cheyenne,0,0,38.487064361572266,1657483
Cheyenne_20240702_1420,SStil05.png,48.49,271.663,226.596,242,943,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,S,Baboon,Cheyenne,0,0,34.763668060302734,1530064
Cheyenne_20240702_1420,SStil05.png,288.426,464.969,179.983,251,560,NonFire,1,Cheyenne_Block1_20240702_1420.xlsx,S,Baboon,Cheyenne,2,6,116.46268463134766,99395
